calendar_year,location_id,location,age_group_public,experiencing_homelessness_cnt
2017,CA-502,Alameda County CoC,18-24,857
2017,CA-502,Alameda County CoC,25-34,932
2017,CA-502,Alameda County CoC,35-44,741
2017,CA-502,Alameda County CoC,45-54,899
2017,CA-502,Alameda County CoC,55-64,895
2017,CA-502,Alameda County CoC,65+,300
2017,CA-502,Alameda County CoC,Under 18,1823
2017,CA-502,Alameda County CoC,Unknown,25
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",18-24,17
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",25-34,24
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",35-44,28
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",45-54,27
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",55-64,21
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",Under 18,54
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",18-24,41
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",25-34,88
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",35-44,78
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",45-54,70
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",55-64,52
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",65+,17
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Under 18,192
2017,CA-519,Butte County CoC,18-24,120
2017,CA-519,Butte County CoC,25-34,271
2017,CA-519,Butte County CoC,35-44,207
2017,CA-519,Butte County CoC,45-54,200
2017,CA-519,Butte County CoC,55-64,186
2017,CA-519,Butte County CoC,65+,54
2017,CA-519,Butte County CoC,Under 18,320
2017,Statewide,California,18-24,16235
2017,Statewide,California,25-34,27719
2017,Statewide,California,35-44,24895
2017,Statewide,California,45-54,26571
2017,Statewide,California,55-64,23108
2017,Statewide,California,65+,7378
2017,Statewide,California,Invalid,90
2017,Statewide,California,Under 18,51590
2017,Statewide,California,Unknown,3257
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",18-24,23
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",25-34,31
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",35-44,20
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Under 18,119
2017,CA-505,Contra Costa County CoC,18-24,362
2017,CA-505,Contra Costa County CoC,25-34,764
2017,CA-505,Contra Costa County CoC,35-44,784
2017,CA-505,Contra Costa County CoC,45-54,845
2017,CA-505,Contra Costa County CoC,55-64,747
2017,CA-505,Contra Costa County CoC,65+,268
2017,CA-505,Contra Costa County CoC,Under 18,1056
2017,CA-525,El Dorado County CoC,18-24,18
2017,CA-525,El Dorado County CoC,25-34,30
2017,CA-525,El Dorado County CoC,35-44,36
2017,CA-525,El Dorado County CoC,45-54,47
2017,CA-525,El Dorado County CoC,55-64,37
2017,CA-525,El Dorado County CoC,Under 18,120
2017,CA-514,"Fresno, Madera Counties CoC",18-24,214
2017,CA-514,"Fresno, Madera Counties CoC",25-34,321
2017,CA-514,"Fresno, Madera Counties CoC",35-44,318
2017,CA-514,"Fresno, Madera Counties CoC",45-54,357
2017,CA-514,"Fresno, Madera Counties CoC",55-64,360
