CALENDAR_YEAR,LOCATION_ID,RACE_ETHNICITY,ALONE_OR_IN_COMBINATION,CNT
2017,Statewide,"American Indian, Alaska Native, or Indigenous",Alone,1920
2017,Statewide,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,9219
2017,Statewide,"American Indian, Alaska Native, or Indigenous",In_Combination,7299
2017,Statewide,Asian or Asian American,Alone,2715
2017,Statewide,Asian or Asian American,Alone or In Combination,4260
2017,Statewide,Asian or Asian American,In_Combination,1545
2017,Statewide,"Black, African American or African",Alone,53366
2017,Statewide,"Black, African American or African",Alone or In Combination,60910
2017,Statewide,"Black, African American or African",In_Combination,7544
2017,Statewide,Hispanic/Latina/e/o,Alone,4657
2017,Statewide,Hispanic/Latina/e/o,Alone or In Combination,59385
2017,Statewide,Hispanic/Latina/e/o,In_Combination,54728
2017,Statewide,Native Hawaiian or Pacific Islander,Alone,1925
2017,Statewide,Native Hawaiian or Pacific Islander,Alone or In Combination,3792
2017,Statewide,Native Hawaiian or Pacific Islander,In_Combination,1867
2017,Statewide,White,Alone,51196
2017,Statewide,White,Alone or In Combination,103242
2017,Statewide,White,In_Combination,52046
2017,CA-500,"American Indian, Alaska Native, or Indigenous",Alone,123
2017,CA-500,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,958
2017,CA-500,"American Indian, Alaska Native, or Indigenous",In_Combination,835
2017,CA-500,Asian or Asian American,Alone,376
2017,CA-500,Asian or Asian American,Alone or In Combination,507
2017,CA-500,Asian or Asian American,In_Combination,131
2017,CA-500,"Black, African American or African",Alone,1376
2017,CA-500,"Black, African American or African",Alone or In Combination,1733
2017,CA-500,"Black, African American or African",In_Combination,357
2017,CA-500,Hispanic/Latina/e/o,Alone,313
2017,CA-500,Hispanic/Latina/e/o,Alone or In Combination,4762
2017,CA-500,Hispanic/Latina/e/o,In_Combination,4449
2017,CA-500,Native Hawaiian or Pacific Islander,Alone,173
2017,CA-500,Native Hawaiian or Pacific Islander,Alone or In Combination,347
2017,CA-500,Native Hawaiian or Pacific Islander,In_Combination,174
2017,CA-500,White,Alone,2473
2017,CA-500,White,Alone or In Combination,6492
2017,CA-500,White,In_Combination,4019
2017,CA-501,"American Indian, Alaska Native, or Indigenous",Alone,66
2017,CA-501,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,363
2017,CA-501,"American Indian, Alaska Native, or Indigenous",In_Combination,297
2017,CA-501,Asian or Asian American,Alone,177
2017,CA-501,Asian or Asian American,Alone or In Combination,228
2017,CA-501,Asian or Asian American,In_Combination,51
2017,CA-501,"Black, African American or African",Alone,1566
2017,CA-501,"Black, African American or African",Alone or In Combination,1784
2017,CA-501,"Black, African American or African",In_Combination,218
2017,CA-501,Hispanic/Latina/e/o,Alone,217
2017,CA-501,Hispanic/Latina/e/o,Alone or In Combination,1175
2017,CA-501,Hispanic/Latina/e/o,In_Combination,958
2017,CA-501,Native Hawaiian or Pacific Islander,Alone,95
2017,CA-501,Native Hawaiian or Pacific Islander,Alone or In Combination,159
2017,CA-501,Native Hawaiian or Pacific Islander,In_Combination,64
2017,CA-501,White,Alone,794
2017,CA-501,White,Alone or In Combination,1539
2017,CA-501,White,In_Combination,745
2017,CA-502,"American Indian, Alaska Native, or Indigenous",Alone,61
2017,CA-502,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,446
2017,CA-502,"American Indian, Alaska Native, or Indigenous",In_Combination,385
2017,CA-502,Asian or Asian American,Alone,166
2017,CA-502,Asian or Asian American,Alone or In Combination,287
2017,CA-502,Asian or Asian American,In_Combination,121
2017,CA-502,"Black, African American or African",Alone,3440
2017,CA-502,"Black, African American or African",Alone or In Combination,4023
2017,CA-502,"Black, African American or African",In_Combination,583
2017,CA-502,Hispanic/Latina/e/o,Alone,58
2017,CA-502,Hispanic/Latina/e/o,Alone or In Combination,1249
2017,CA-502,Hispanic/Latina/e/o,In_Combination,1191
2017,CA-502,Native Hawaiian or Pacific Islander,Alone,76
2017,CA-502,Native Hawaiian or Pacific Islander,Alone or In Combination,221
2017,CA-502,Native Hawaiian or Pacific Islander,In_Combination,145
2017,CA-502,White,Alone,949
2017,CA-502,White,Alone or In Combination,2030
2017,CA-502,White,In_Combination,1081
2017,CA-503,"American Indian, Alaska Native, or Indigenous",Alone,141
2017,CA-503,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,631
2017,CA-503,"American Indian, Alaska Native, or Indigenous",In_Combination,490
2017,CA-503,Asian or Asian American,Alone,128
2017,CA-503,Asian or Asian American,Alone or In Combination,235
2017,CA-503,Asian or Asian American,In_Combination,107
2017,CA-503,"Black, African American or African",Alone,4722
2017,CA-503,"Black, African American or African",Alone or In Combination,5631
2017,CA-503,"Black, African American or African",In_Combination,909
2017,CA-503,Hispanic/Latina/e/o,Alone,67
2017,CA-503,Hispanic/Latina/e/o,Alone or In Combination,1939
2017,CA-503,Hispanic/Latina/e/o,In_Combination,1872
2017,CA-503,Native Hawaiian or Pacific Islander,Alone,152
2017,CA-503,Native Hawaiian or Pacific Islander,Alone or In Combination,288
2017,CA-503,Native Hawaiian or Pacific Islander,In_Combination,136
2017,CA-503,White,Alone,3362
2017,CA-503,White,Alone or In Combination,5327
2017,CA-503,White,In_Combination,1965
2017,CA-504,"American Indian, Alaska Native, or Indigenous",Alone,66
2017,CA-504,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,480
2017,CA-504,"American Indian, Alaska Native, or Indigenous",In_Combination,414
2017,CA-504,Asian or Asian American,Alone,26
2017,CA-504,Asian or Asian American,Alone or In Combination,60
2017,CA-504,Asian or Asian American,In_Combination,34
2017,CA-504,"Black, African American or African",Alone,183
2017,CA-504,"Black, African American or African",Alone or In Combination,271
2017,CA-504,"Black, African American or African",In_Combination,88
2017,CA-504,Hispanic/Latina/e/o,Alone,58
2017,CA-504,Hispanic/Latina/e/o,Alone or In Combination,750
2017,CA-504,Hispanic/Latina/e/o,In_Combination,692
2017,CA-504,Native Hawaiian or Pacific Islander,Alone,29
2017,CA-504,Native Hawaiian or Pacific Islander,Alone or In Combination,75
2017,CA-504,Native Hawaiian or Pacific Islander,In_Combination,46
2017,CA-504,White,Alone,1577
2017,CA-504,White,Alone or In Combination,2165
2017,CA-504,White,In_Combination,588
2017,CA-505,"American Indian, Alaska Native, or Indigenous",Alone,48
2017,CA-505,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,491
2017,CA-505,"American Indian, Alaska Native, or Indigenous",In_Combination,443
2017,CA-505,Asian or Asian American,Alone,65
2017,CA-505,Asian or Asian American,Alone or In Combination,114
2017,CA-505,Asian or Asian American,In_Combination,49
2017,CA-505,"Black, African American or African",Alone,1772
2017,CA-505,"Black, African American or African",Alone or In Combination,1987
2017,CA-505,"Black, African American or African",In_Combination,215
2017,CA-505,Hispanic/Latina/e/o,Alone,27
2017,CA-505,Hispanic/Latina/e/o,Alone or In Combination,880
2017,CA-505,Hispanic/Latina/e/o,In_Combination,853
2017,CA-505,Native Hawaiian or Pacific Islander,Alone,90
2017,CA-505,Native Hawaiian or Pacific Islander,Alone or In Combination,165
2017,CA-505,Native Hawaiian or Pacific Islander,In_Combination,75
2017,CA-505,White,Alone,1629
2017,CA-505,White,Alone or In Combination,2192
2017,CA-505,White,In_Combination,563
2017,CA-506,"American Indian, Alaska Native, or Indigenous",Alone,18
2017,CA-506,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,100
2017,CA-506,"American Indian, Alaska Native, or Indigenous",In_Combination,82
